  Length of wire:20
1. ro=0.1100*10^-4 Om*cm
2. ro=0.1098*10^-4 Om*cm
3. ro=0.1086*10^-4 Om*cm
4. ro=0.1088*10^-4 Om*cm
5. ro=0.1084*10^-4 Om*cm
6. ro=0.1096*10^-4 Om*cm
7. ro=0.1096*10^-4 Om*cm
8. ro=0.1096*10^-4 Om*cm
9. ro=0.1089*10^-4 Om*cm
10. ro=0.1089*10^-4 Om*cm
11. ro=0.1091*10^-4 Om*cm
12. ro=0.1094*10^-4 Om*cm
  Length of wire:30
13. ro=0.1108*10^-4 Om*cm
14. ro=0.1083*10^-4 Om*cm
15. ro=0.1095*10^-4 Om*cm
16. ro=0.1094*10^-4 Om*cm
17. ro=0.1086*10^-4 Om*cm
18. ro=0.1094*10^-4 Om*cm
19. ro=0.1098*10^-4 Om*cm
20. ro=0.1099*10^-4 Om*cm
21. ro=0.1089*10^-4 Om*cm
22. ro=0.1097*10^-4 Om*cm
23. ro=0.1091*10^-4 Om*cm
  Length of wire:50
25. ro=0.1051*10^-4 Om*cm
26. ro=0.1084*10^-4 Om*cm
27. ro=0.1103*10^-4 Om*cm
28. ro=0.1096*10^-4 Om*cm
29. ro=0.1101*10^-4 Om*cm
30. ro=0.1102*10^-4 Om*cm
31. ro=0.1102*10^-4 Om*cm
32. ro=0.1101*10^-4 Om*cm
33. ro=0.1097*10^-4 Om*cm
34. ro=0.1104*10^-4 Om*cm
35. ro=0.1102*10^-4 Om*cm
36. ro=0.1099*10^-4 Om*cm
